Name,Index,KEGGID,FullName,Other,Lipid,Cofactor,Nucleotide,AminoAcid,CentralCarbon
3ophb[c],45,C05809,3_Octaprenyl_4_hydroxybenzoate,0,0,1,0,0,0
3pg[c],46,C00197,3_Phospho_D_glycerate,0,0,0,0,1,1
3php[c],47,C03232,3_Phosphohydroxypyruvate,0,0,0,0,1,0
3psme[c],48,C01269,5_O__1_Carboxyvinyl__3_phosphoshikimate,0,0,0,0,1,0
4abut[c],49,C00334,4_Aminobutanoate,0,0,0,0,1,0
4abutn[c],50,C00555,4_Aminobutanal,0,0,0,0,1,0
4abz[c],51,C00568,4_Aminobenzoate,0,0,1,0,0,0
4adcho[c],52,C11355,4_amino_4_deoxychorismate,0,0,1,0,0,0
4ahmmp[c],53,C01279,4_Amino_5_hydroxymethyl_2_methylpyrimidine,0,0,1,0,0,0
4ampm[c],54,C04556,4_Amino_2_methyl_5_phosphomethylpyrimidine,0,0,1,0,0,0
4c2me[c],55,C11435,4__cytidine_5__diphospho__2_C_methyl_D_erythritol,0,0,1,0,0,0
4hbz[c],56,C00156,4_Hydroxybenzoate,0,0,1,0,0,0
4hthr[c],57,C06056,4_Hydroxy_L_threonine,0,0,1,0,0,0
4mhetz[c],58,C04294,4_Methyl_5__2_hydroxyethyl__thiazole,0,0,1,0,0,0
4mop[c],59,C00233,4_Methyl_2_oxopentanoate,0,0,0,0,1,0
4mpetz[c],60,C04327,4_Methyl_5__2_phosphoethyl__thiazole,0,0,1,0,0,0
4pasp[c],61,C03082,4_Phospho_L_aspartate,0,0,0,0,1,0
4per[c],62,C03393,4_Phospho_D_erythronate,0,0,1,0,0,0
4ppan[c],63,C03492,D_4__Phosphopantothenate,0,0,1,0,0,0
4ppcys[c],64,C04352,N___R__4_Phosphopantothenoyl__L_cysteine,0,0,1,0,0,0
4r5au[c],65,C04732,4__1_D_Ribitylamino__5_aminouracil,0,0,1,0,0,0
5aizc[c],66,C04751,5_amino_1__5_phospho_D_ribosyl_imidazole_4_carboxylate,0,0,0,1,0,0
5aop[c],67,C00430,5_Amino_4_oxopentanoate,0,0,1,0,0,0
5aprbu[c],68,C04454,5_Amino_6__5__phosphoribitylamino_uracil,0,0,1,0,0,0
5apru[c],69,C01268,5_Amino_6__5__phosphoribosylamino_uracil,0,0,1,0,0,0
5caiz[c],70,C15667,5_phosphoribosyl_5_carboxyaminoimidazole,0,0,0,1,0,0
5mta[c],71,C00170,5_Methylthioadenosine,0,0,0,0,1,0
5mthf[c],72,C00440,5_Methyltetrahydrofolate,0,0,0,0,1,0
5mtr[c],73,C03089,5_Methylthio_D_ribose,0,0,0,0,1,0
5prdmbz[c],74,C04778,N1__5_Phospho_alpha_D_ribosyl__5_6_dimethylbenzimidazole,0,0,1,0,0,0
6pgc[c],75,C00345,6_Phospho_D_gluconate,0,0,0,0,0,1
6pgl[c],76,C01236,6_phospho_D_glucono_1_5_lactone,0,0,0,0,0,1
8aonn[c],77,C01092,8_Amino_7_oxononanoate,0,0,1,0,0,0
ACP[c],78,C00229,acyl_carrier_protein,1,1,1,0,0,0
N1aspmd[c],79,C00612,N1_Acetylspermidine,0,0,0,0,1,0
aacoa[c],80,C00332,Acetoacetyl_CoA,1,0,0,0,0,0
acACP[c],81,C03939,Acetyl_ACP,1,0,0,0,0,0
ac[c],82,C00033,Acetate,0,0,0,0,0,1
acald[c],83,C00084,Acetaldehyde,1,0,1,0,1,1
accoa[c],84,C00024,Acetyl_CoA,0,0,0,0,0,1
acg5p[c],85,C04133,N_Acetyl_L_glutamyl_5_phosphate,0,0,0,0,1,0
acg5sa[c],86,C01250,N_Acetyl_L_glutamate_5_semialdehyde,0,0,0,0,1,0
acgam1p[c],87,C04256,N_Acetyl_D_glucosamine_1_phosphate,1,0,0,0,0,0
acgam6p[c],88,C00357,N_Acetyl_D_glucosamine_6_phosphate,1,0,0,0,0,0
acglu[c],89,C00624,N_Acetyl_L_glutamate,0,0,0,0,1,0
acorn[c],90,C00437,N2_Acetyl_L_ornithine,0,0,0,0,1,0
acser[c],91,C00979,O_Acetyl_L_serine,0,0,0,0,1,0
actACP[c],92,C05744,Acetoacetyl_ACP,1,0,0,0,0,0
actp[c],93,C00227,Acetyl_phosphate,0,0,0,0,0,1
ade[c],94,C00147,Adenine,0,0,1,1,1,0
adn[c],95,C00212,Adenosine,0,0,0,1,0,0
adocbi[c],96,C06508,Adenosyl_cobinamide,0,0,1,0,0,0
adocbip[c],97,C06509,Adenosyl_cobinamide_phosphate,0,0,1,0,0,0
adocbl[c],98,C00194,Adenosylcobalamin,0,0,1,0,0,0
adpglc[c],99,C00498,ADPglucose,0,0,0,0,0,1
adphep_DD[c],100,C06397,ADP_D_glycero_D_manno_heptose,0,1,0,0,0,0
adphep_LD[c],101,C06398,ADP_L_glycero_D_manno_heptose,0,1,0,0,0,0
agdpcbi[c],102,C06510,Adenosine_GDP_cobinamide,0,0,1,0,0,0
agm[c],103,C00179,Agmatine,0,0,0,0,1,0
ahcys[c],104,C00021,S_Adenosyl_L_homocysteine,0,1,1,0,1,0
ahdt[c],105,C04895,2_Amino_4_hydroxy_6__erythro_1_2_3_trihydroxypropyl_dihydropteridine_triphosphate,0,0,1,0,0,0
aicar[c],106,C04677,5_Amino_1__5_Phospho_D_ribosyl_imidazole_4_carboxamide,0,0,0,1,1,0
air[c],107,C03373,5_amino_1__5_phospho_D_ribosyl_imidazole,0,0,1,1,0,0
akg[c],108,C00026,2_Oxoglutarate,0,0,0,0,0,1
ala_B[c],109,C00099,beta_Alanine,0,0,1,0,0,0
ala_D[c],110,C00133,D_Alanine,1,0,1,0,1,0
ala_L[c],111,C00041,L_Alanine,0,0,0,0,1,0
alaala[c],112,C00993,D_Alanyl_D_alanine,1,0,0,0,0,0
alac_S[c],113,C06010,S__2_Acetolactate,0,0,0,0,1,0
amet[c],114,C00019,S_Adenosyl_L_methionine,0,1,1,0,1,0
ametam[c],115,C01137,S_Adenosylmethioninamine,0,0,0,0,1,0
